study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
book,,0,0,0,2,,,,,0.0765649,,0.0138512,0.0765649,0.0765649,2.0793731,1.481481481,2.0346272,,,,,,,,,,,,,,,aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
piano,,0,1,1,4,,,,,2.122996,,2.0803557,2.122996,2.122996,3.5582379,1.374074074,1.4229993,,,,,,,,,,,,,,,aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
tiger,,0,2,2,1,,,,,3.6301379,,3.5594462,3.6301379,3.6301379,5.3411009,1.274074074,1.7103978,,,,,,,,,,,,,,,aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
cushion,,0,3,3,3,,,,,5.3975228,,5.3423136,5.3975228,5.3975228,6.8768212,1.151851852,1.481758,,,,,,,,,,,,,,,aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
vase,,0,4,4,0,,,,,6.9167619,,6.8775658,6.9167619,6.9167619,8.4437526,1.151851852,1.5275228,,,,,,,,,,,,,,,aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
,_oo_,,,,,0,0,0,2,8.4849996,,,,,,,,8.4538694,8.4849996,8.4849996,8.4849996,0.015549,13.3005695,book,[-0.02962962962962963],[-0.3148148148148148],[1],[0],[0],[4.839569100004155],['text_3'],aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
,_a_e,,,,,0,1,1,0,13.3416031,,,,,,,,13.3050726,13.3416031,13.3416031,13.3416031,0.0092355,18.9285807,vase,"[-0.6601851851851852, 0.03888888888888889]","[-0.462037037037037, -0.28055555555555556]","[1, 1]","[0, 0]","[0, 0]","[2.742330500004755, 5.61359480000101]",['text_3'],aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
,c_s_h_o_n,,,,,0,2,2,3,18.9593844,,,,,,,,18.9309258,18.9593844,18.9593844,18.9593844,0.0079565,24.1117877,cushion,[0.012962962962962963],[-0.28888888888888886],[1],[0],[0],[5.171972199997981],['text_3'],aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
,_ea_o_,,,,,0,3,3,5,24.1517737,,,,,,,,24.114623,24.1517737,24.1517737,24.1517737,0.0101033,32.1466531,peagon,[-0.001851851851851852],[-0.29814814814814816],[1],[0],[0],[8.021098500001244],['text_3'],aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
,_p_a_d_,,,,,0,4,4,7,32.1899768,,,,,,,,32.1492408,32.1899768,32.1899768,32.1899768,0.0143667,38.9089307,,[-0.001851851851851852],[-0.29814814814814816],[1],[0],[0],[6.744484599999851],['text_3'],aagya,1,2023-10-09_11h01.05.404,tutorial5,2023.2.2,59.99545235,2023-10-09 11h01.27.840830 +0530
