study_word	test	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test.started	text_2.started	textbox.started	text_3.started	mouse.started	test.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
vase		0	0	0	0					0.1046255		0.0194539	0.1046255	0.1046255	2.0571245	1.02962963	1.9931524															anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
cushion		0	1	1	3					2.1291203		2.0588143	2.1291203	2.1291203	2.8644229	1.02962963	0.7546997															anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
tiger		0	2	2	1					2.8939793		2.8649309	2.8939793	2.8939793	3.6059401	1.02962963	0.7065642															anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
book		0	3	3	2					3.6429736		3.6066329	3.6429736	3.6429736	4.3884378	1.02962963	0.7405274															anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
piano		0	4	4	4					4.4392188		4.3892662	4.4392188	4.4392188	5.2114455	1.02962963	0.7776035															anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	_o_s_					0	0	0	8	5.2464647								5.2222548	5.2464647	5.2464647	5.2464647	0.0161135	11.1816359	rose	[-0.09537037037037037]	[-0.3]	[1]	[0]	[0]	[5.952440699998988]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	_oo_					0	1	1	2	11.2183478								11.1855844	11.2183478	11.2183478	11.2183478	0.0083702	14.7813349	book	[-0.09537037037037037]	[-0.3]	[1]	[0]	[0]	[3.586441300001752]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	o_a_n_e					0	2	2	9	14.815077								14.7837352	14.815077	14.815077	14.815077	0.0088767	15.058467		[-0.09537037037037037]	[-0.3]	[1]	[0]	[0]	[0.2649980000060168]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	_ia_n_					0	3	3	4	15.0939454								15.061085	15.0939454	15.0939454	15.0939454	0.0085852	22.7075735	piano	"[-0.05462962962962963, -0.05462962962962963]"	"[-0.2675925925925926, -0.2962962962962963]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[5.739359999999579, 7.637132500000007]"	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	t_g_r					0	4	4	1	22.743524								22.7105799	22.743524	22.743524	22.743524	0.009064	26.1109151	tiger	[-0.05462962962962963]	[-0.2962962962962963]	[1]	[0]	[0]	[3.3904267999969306]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	_ea_o_					0	5	5	5	26.1465768								26.1133409	26.1465768	26.1465768	26.1465768	0.0087997	34.2004048	leopard	[-0.05462962962962963]	[-0.2962962962962963]	[1]	[0]	[0]	[8.07729929999914]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	c_m_r_					0	6	6	6	34.24391								34.2033459	34.24391	34.24391	34.24391	0.0105989	39.2505042	camera	[-0.05462962962962963]	[-0.2962962962962963]	[1]	[0]	[0]	[5.0356488000034005]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	c_s_h_o_n					0	7	7	3	39.2909837								39.2535063	39.2909837	39.2909837	39.2909837	0.0104317	43.7655959	cushion	[-0.006481481481481481]	[-0.2972222222222222]	[1]	[0]	[0]	[4.500699500000337]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	_p_a_d_					0	8	8	7	43.8107373								43.768578	43.8107373	43.8107373	43.8107373	0.016548	51.3590363		[-0.006481481481481481]	[-0.2972222222222222]	[1]	[0]	[0]	[7.573045599994657]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
	_a_e					0	9	9	0	51.3940733								51.3615987	51.3940733	51.3940733	51.3940733	0.0085587	56.2609456	vase	[0.05740740740740741]	[-0.2953703703703704]	[1]	[0]	[0]	[4.889944700000342]	['text_3']	anushka	1	2023-10-09_10h58.56.879	tutorial5	2023.2.2	60.03337856	2023-10-09 10h59.22.246350 +0530
																																						
																																						
							Correctly identified (a)	5																														
							Incorrectly identified (b)	1																														
							total words 	10																														
							proportion (a)	0.5																														
							proportion (b)	0.1																														
							Priming score	0.4																														
