study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
vase,,0,0,0,0,,,,,0.091032,,0.0174333,0.091032,0.091032,2.7004599,1.003703704,2.6435378,,,,,,,,,,,,,,,jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
cushion,,0,1,1,3,,,,,2.7297018,,2.7012955,2.7297018,2.7297018,3.9893538,1.003703704,1.241151,,,,,,,,,,,,,,,jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
tiger,,0,2,2,1,,,,,4.0361573,,3.9905681,4.0361573,4.0361573,5.1955405,1.003703704,1.1552442,,,,,,,,,,,,,,,jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
book,,0,3,3,2,,,,,5.223901,,5.1962316,5.223901,5.223901,6.1981953,1.003703704,0.9681447,,,,,,,,,,,,,,,jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
piano,,0,4,4,4,,,,,6.2389214,,6.1988776,6.2389214,6.2389214,7.2354018,1.003703704,0.9967162,,,,,,,,,,,,,,,jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,_oo_,,,,,0,0,0,2,7.2798377,,,,,,,,7.2468001,7.2798377,7.2798377,7.2798377,0.0177622,11.6787155,book,"[-0.032407407407407406, 0.023148148148148147]","[0.005555555555555556, -0.3175925925925926]","[1, 1]","[0, 0]","[0, 0]","[1.8725923001766205, 4.423941300017759]",['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,_ea_o_,,,,,0,1,1,5,11.7152081,,,,,,,,11.6828289,11.7152081,11.7152081,11.7152081,0.0090266,21.6893136,oeacock,[],[],[],[],[],[],[],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,c_s_h_o_n,,,,,0,2,2,3,21.7251849,,,,,,,,21.6916857,21.7251849,21.7251849,21.7251849,0.0189327,31.69127,cushion,[],[],[],[],[],[],[],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,_a_e,,,,,0,3,3,0,31.7309251,,,,,,,,31.6940783,31.7309251,31.7309251,31.7309251,0.0212484,31.7328367,,[0.009259259259259259],[-0.30648148148148147],[1],[0],[0],[0.028086300007998943],['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,_ia_n_,,,,,0,4,4,4,31.7583518,,,,,,,,31.7346491,31.7583518,31.7583518,31.7583518,0.0063101,37.6268894,piano,[0.009259259259259259],[-0.30648148148148147],[1],[0],[0],[5.88480219990015],['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,c_m_r_,,,,,0,5,5,6,37.6672633,,,,,,,,37.6297387,37.6672633,37.6672633,37.6672633,0.0109937,42.3053147,camera,[0.009259259259259259],[-0.30648148148148147],[1],[0],[0],[4.663652200018987],['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,_p_a_d_,,,,,0,6,6,7,42.3523743,,,,,,,,42.3082052,42.3523743,42.3523743,42.3523743,0.0156385,52.3238124,,[],[],[],[],[],[],[],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,_o_s_,,,,,0,7,7,8,52.3599226,,,,,,,,52.3260483,52.3599226,52.3599226,52.3599226,0.0267122,59.0667031,,[0.009259259259259259],[-0.30648148148148147],[1],[0],[0],[6.730750999879092],['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,o_a_n_e,,,,,0,8,8,9,59.1087821,,,,,,,,59.069609,59.1087821,59.1087821,59.1087821,0.0107273,67.4134413,orange,[0.009259259259259259],[-0.30648148148148147],[1],[0],[0],[8.332127699861303],['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,t_g_r,,,,,0,9,9,1,67.4562825,,,,,,,,67.4169336,67.4562825,67.4562825,67.4562825,0.010481,73.2625582,tiger,[0.009259259259259259],[-0.30648148148148147],[1],[0],[0],[5.834168100031093],['text_3'],jhanvi,1,2023-10-23_15h56.09.830,tutorial5,2023.2.2,60.03355883,2023-10-23 15h56.26.444607 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,correctly identified ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
