study_word	test	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test.started	text_2.started	textbox.started	text_3.started	mouse.started	test.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
piano		0	0	0	4					0.1946371		0.0571163	0.1946371	0.1946371	2.3731551	1.044444444	2.2420883															mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
vase		0	1	1	0					2.4490167		2.3757709	2.4490167	2.4490167	3.4207336	1.044444444	0.9755205															mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
cushion		0	2	2	3					3.483076		3.4219512	3.483076	3.483076	4.25935	1.044444444	0.784539															mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
tiger		0	3	3	1					4.2968386		4.2600605	4.2968386	4.2968386	5.0127531	1.044444444	0.7101977															mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
book		0	4	4	2					5.0411162		5.0134634	5.0411162	5.0411162	5.8589821	1.044444444	0.8021908															mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	_p_a_d_					0	0	0	7	5.914132								5.8760946	5.914132	5.914132	5.914132	0.0331559	15.8628391	 	[]	[]	[]	[]	[]	[]	[]	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	_oo_					0	1	1	2	15.907118								15.8672734	15.907118	15.907118	15.907118	0.0167665	20.4762062	book 	[-0.058333333333333334]	[-0.3055555555555556]	[1]	[0]	[0]	[4.598382399999537]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	_o_s_					0	2	2	8	20.5129528								20.4789273	20.5129528	20.5129528	20.5129528	0.0090887	25.6877155	rose	[-0.018518518518518517]	[-0.28703703703703703]	[1]	[0]	[0]	[5.198814299998048]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	_ea_o_					0	3	3	5	25.7255381								25.6905588	25.7255381	25.7255381	25.7255381	0.0098814	34.7107554	peacock	[-0.05185185185185185]	[-0.2962962962962963]	[1]	[0]	[0]	[9.00922410000203]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	_a_e					0	4	4	0	34.7477453								34.7136293	34.7477453	34.7477453	34.7477453	0.0092007	37.7538223	vase	[-0.06296296296296296]	[-0.2972222222222222]	[1]	[0]	[0]	[3.0301202999980887]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	t_g_r					0	5	5	1	37.787708								37.7562855	37.787708	37.787708	37.787708	0.0085901	41.111991	tiger	[-0.05925925925925926]	[-0.287962962962963]	[1]	[0]	[0]	[3.345944499997131]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	o_a_n_e					0	6	6	9	41.1483576								41.1145852	41.1483576	41.1483576	41.1483576	0.0090514	44.9105704	orange	[-0.05462962962962963]	[-0.2935185185185185]	[1]	[0]	[0]	[3.7860284999987925]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	c_s_h_o_n					0	7	7	3	44.9447562								44.9133196	44.9447562	44.9447562	44.9447562	0.0092398	49.1441197	cushion	[-0.06296296296296296]	[-0.30462962962962964]	[1]	[0]	[0]	[4.2207823999997345]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	_ia_n_					0	8	8	4	49.1776744								49.146724	49.1776744	49.1776744	49.1776744	0.0086961	56.1485663	piano	[-0.01574074074074074]	[-0.30092592592592593]	[1]	[0]	[0]	[6.992258300000685]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
	c_m_r_					0	9	9	6	56.1842578								56.15119	56.1842578	56.1842578	56.1842578	0.0089391	60.3527237	camera	[-0.028703703703703703]	[-0.2851851851851852]	[1]	[0]	[0]	[4.191696900001261]	['text_3']	mahashri	1	2023-10-09_10h56.34.232	tutorial5	2023.2.2	60.02318095	2023-10-09 10h56.54.975059 +0530
																																						
																																						
																																						
							correctly identified 	5																														
							incorrectly identified	3																														
							total	10																														
							proportion (a)	0.5																														
							proportion (b)	0.3																														
							prime score	0.2																														
